City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
58,Beringovskiy,RU,276.62,overcast clouds,63.05,179.3167,
59,Kodiak,US,284.23,broken clouds,57.79,-152.4072,
61,Wattegama,LK,296.9,overcast clouds,6.7989,81.4808,
62,Pevek,RU,274.45,overcast clouds,69.7008,170.3133,
63,Sembabule,UG,289.14,few clouds,-0.0772,31.4567,
64,Sisimiut,GL,277.27,broken clouds,66.9395,-53.6735,
65,Tiznit,MA,294.78,broken clouds,29.5833,-9.5,
67,Dikson,RU,271.8,light snow,73.5069,80.5464,
68,Belaya Gora,RU,283.2,few clouds,68.5333,146.4167,
71,Leningradskiy,RU,274.25,overcast clouds,69.3833,178.4167,
72,Albany,US,299.63,overcast clouds,42.6001,-73.9662,
73,Tuktoyaktuk,CA,275.15,broken clouds,69.4541,-133.0374,
74,Cabra,ES,297.41,overcast clouds,37.4725,-4.4421,
75,Upernavik,GL,273.33,clear sky,72.7868,-56.1549,
76,Karratha,AU,292.43,clear sky,-20.7377,116.8463,
77,Darhan,MN,288.02,overcast clouds,49.4867,105.9228,
78,Narsaq,GL,279.86,overcast clouds,60.9167,-46.05,
79,Terrace,CA,289.1,broken clouds,54.5163,-128.6035,
80,Kenora,CA,293.69,broken clouds,49.8167,-94.4337,
81,Dalby,AU,279.25,broken clouds,-27.1833,151.2667,
82,Yantal,RU,282.96,overcast clouds,56.8471,105.2542,
83,Payo,ID,294.65,overcast clouds,-3.7508,103.6372,
84,Norman Wells,CA,286.17,broken clouds,65.282,-126.8329,
86,Tabou,CI,297.71,moderate rain,4.423,-7.3528,
89,Faya,SA,294.21,clear sky,18.3851,42.4509,
90,Chokurdakh,RU,278.39,few clouds,70.6333,147.9167,
91,Sao Joao Da Barra,BR,297.2,scattered clouds,-21.6403,-41.0511,
92,Punta Arenas,CL,276.16,light rain,-53.15,-70.9167,
93,Flinders,AU,283.92,clear sky,-34.5833,150.8552,
95,Bilibino,RU,276.98,broken clouds,68.0546,166.4372,
